,m/z,intensity,S/N,log_intensity,mz_calibrated,mz_calibrated_Hline,tdb_index,C,H,N,O,S,theo,class,DBE,mz_E_ppm_BeforeCalibration,mz_E_ppm_AfterCalibration,isotope,track
2976,783.14976,3831998,6.1,6.583425273739182,783.1626897984669,,64351,33,35,0,22,0,783.1625448,O22,16.0,-16.32458049079452,0.1851447925730322,,False
3099,312.16945,3144985,6.5,6.497618578419519,312.1719245557617,,467,17,27,0,3,1,312.1719934,O3S1,4.0,-8.147431716518438,-0.22053303882987166,1C13,False
3100,313.01629,3356518,7.0,6.525888980518322,313.0187780725676,,10685,13,11,0,7,1,313.0188928,O7S1,8.0,-8.315153046177166,-0.36651919430029783,1S34,False
1853,455.09649,5295635,8.4,6.723918043850705,455.10162078936435,,15117,20,23,0,10,1,455.1017406,O10S1,9.0,-11.537200435859557,-0.26326121170850514,,False
2471,549.02382,5052435,8.2,6.703500734988349,549.0310239721065,,25634,26,13,0,14,0,549.031078,O14,20.0,-13.219652385468228,-0.09840589296792467,,False
3843,548.06926,14312953,27.4,7.155729245171262,548.0764419275692,,2462,24,19,0,15,0,548.0762976000001,O15,15.0,-12.84054798742557,0.26333481267470343,1C13,False
3371,381.10976,3697927,6.2,6.56795833359165,381.113427111174,,4112,15,23,0,9,1,381.113536,O9S1,4.0,-9.907808679921068,-0.28571230278074167,2C13,False
1155,381.09449,7783667,15.5,6.891184247718159,381.0981568274984,,8884,21,17,0,7,0,381.0979758,O7,13.0,-9.14672924369927,0.47501563889541804,,False
1845,455.03161,6924263,11.6,6.8403735550553995,455.0367394333205,,15092,20,11,2,11,0,455.0368322,N2O11,16.0,-11.476433621303496,-0.20386630907179043,,False
3592,456.00847,6365755,10.5,6.8038499198339,456.01361986288964,,1842,17,11,0,15,0,456.0136976,O15,12.0,-11.463690734565315,-0.1704709984999395,1C13,False
3594,456.0285,5086301,7.9,6.706402057524902,456.0336502820652,,6513,20,11,2,11,0,456.0338672,N2O11,16.0,-11.769301330448398,-0.47566189789960533,1N15,False
3595,456.04472,35731064,68.2,7.55304594882065,456.04987062151554,,1846,18,15,0,14,0,456.050083,O14,11.0,-11.759673333922978,-0.4656911430368911,1C13,False
3597,456.08121,32267956,61.4,7.508771456075245,456.086361385201,,1850,19,19,0,13,0,456.0864684,O13,10.0,-11.52939270145301,-0.23463708406666295,1C13,False
1862,456.08831,8317376,14.3,6.919986334888959,456.09346153379846,,15216,22,18,1,10,0,456.0936186,N1O10,14.0,-11.639277077214642,-0.3443727233775967,,False
3598,456.1176,22269680,41.7,7.347713976565575,456.1227521468304,,1855,20,23,0,12,0,456.1228538,O12,9.0,-11.518387987406115,-0.22286357440450646,1C13,False
3110,315.02527,3499562,7.4,6.544013692097,315.0277902574751,,6090,15,8,1,7,0,315.0276598,N1O7,12.0,-7.586000548397262,0.41411435171023486,1N15,False
1869,457.07584,8181287,14.0,6.912821628002943,457.0810122156788,,15303,19,21,0,11,1,457.0810052,O11S1,9.0,-11.300403957291591,0.015348874135043539,,False
3593,456.02371,8505429,14.7,6.929696223608084,456.028860181822,,1843,21,11,0,12,0,456.0289538,O12,16.0,-11.498831283235425,-0.20528998706650692,1C13,False
1870,457.08182,5398320,8.6,6.7322586249620855,457.0869923410006,,15306,33,13,0,3,0,457.0870174,O3,27.0,-11.370701424752212,-0.054823257751480926,,False
3095,312.0053,3193381,6.6,6.504250736994311,312.0077719391273,,455,12,7,0,10,0,312.0078246,O10,9.0,-8.09146374214103,-0.16878061561083463,1C13,False
1838,454.03633,7700341,13.1,6.886509957787961,454.0414386459107,,15014,21,12,1,11,0,454.0415832,N1O11,16.0,-11.569865391946093,-0.3183719170737987,,False
3394,386.07718,44157428,96.6,7.645003769477993,386.08093982280894,,1194,16,17,0,11,0,386.0809892,O11,8.0,-9.866323664034644,-0.1278933498775282,1C13,False
3393,386.07527,3897074,6.6,6.590738652517487,386.0790297869966,,4160,19,14,1,8,0,386.0791994,N1O8,13.0,-10.17770448682732,-0.4393217859000104,2C13,False
3578,450.10747,22717967,43.0,7.356369464354729,450.1124968595078,,1800,21,21,0,11,0,450.1122892,O11,11.0,-10.706661683483437,0.46135045137927366,1C13,False
3861,560.10459,7383056,13.2,6.868236162530382,560.1120511144002,,2519,39,15,2,3,0,560.1121704000001,N2O3,33.0,-13.533717709861902,-0.21296734156434896,1C13,False
1205,386.04792,13993933,29.2,7.14593979027071,386.0516792742013,,9239,18,12,1,9,0,386.051754,N1O9,13.0,-9.931310919624277,-0.19356419941890146,,False
3860,560.03262,7857155,14.2,6.895265320661849,560.0400794370122,,2516,24,15,0,16,0,560.0399122,O16,17.0,-13.020857694598623,0.2986162388594578,1C13,False
3391,386.04081,55488963,122.0,7.74420660862051,386.0445691408975,,1190,15,13,0,12,0,386.0446038,O12,9.0,-9.827361819433982,-0.08978004650517889,1C13,False
2485,553.00362,4665249,7.4,6.668874828455523,553.0109160666741,,26140,21,13,0,18,0,553.0107364,O18,15.0,-12.868466255126917,0.32488822048382154,,False
