,m/z,I,S/N
0,203.79925,1900200,4.2
1,203.8847,1997943,4.5
2,205.12343,1897220,4.2
3,205.86068,1860539,4.0
4,206.1141,1884999,4.1
5,206.15367,2030651,4.6
6,206.28532,2159191,5.1
7,206.53069,1959404,4.4
8,206.92695,1968054,4.4
9,207.01243,2999220,8.0
10,207.0773,1888876,4.1
11,207.18882,1909486,4.2
12,207.22724,1850803,4.0
13,207.26949,2016064,4.6
14,207.3329,1956897,4.4
15,207.33958,2106242,4.9
16,207.38164,1925772,4.3
17,207.55492,2253747,5.4
18,207.55768,1869184,4.1
19,207.84431,1858493,4.0
20,207.90839,2066113,4.8
21,208.12209,2017665,4.6
22,208.27219,1904214,4.2
23,208.35255,2313064,5.6
24,208.49627,2110767,4.9
25,208.70201,1975761,4.4
26,208.71973,1866013,4.1
27,208.74617,1894969,4.2
28,208.76151,1851864,4.0
29,209.05006,1883952,4.1
30,209.05691,2215307,5.3
31,209.25187,1857329,4.0
32,209.32587,1990757,4.5
33,209.3335,1905053,4.2
34,209.34985,1870953,4.1
35,209.4699,2075361,4.8
36,209.47102,2011011,4.6
37,209.60643,1853417,4.0
38,209.80354,1933183,4.3
39,209.81928,2139076,5.0
40,209.84906,1860654,4.0
41,209.88926,1880267,4.1
42,209.96093,2115702,4.9
43,209.98248,2194144,5.2
44,210.12924,1853997,4.0
45,210.20636,1952826,4.4
46,210.23789,1857561,4.0
47,210.25614,1863518,4.0
48,210.27793,1888453,4.1
49,210.37097,1858861,4.0
50,210.4079,2116950,4.9
51,210.4126,1994471,4.5
52,210.41956,2404989,6.0
53,210.4757,2159227,5.1
54,210.54023,2090167,4.8
55,210.56532,2217345,5.3
56,210.63634,1872116,4.1
57,210.6541,1936731,4.3
58,210.65976,2348144,5.8
59,210.67383,2019551,4.6
60,210.81182,2065400,4.8
61,210.81426,1873281,4.1
62,210.83395,2118834,4.9
63,210.84891,1877830,4.1
64,210.8723,2111789,4.9
65,210.93857,2320544,5.7
66,210.99999,1924699,4.3
67,211.00361,2124439,5.0
68,211.07356,2075295,4.8
69,211.09347,1976869,4.4
70,211.09771,1969669,4.4
71,211.30195,2186406,5.2
72,211.36353,2193578,5.2
73,211.4553,1920288,4.2
74,211.518,1907103,4.2
75,211.54163,2278410,5.5
76,211.65495,1890713,4.1
77,211.74164,1907485,4.2
78,211.76293,2253863,5.4
79,211.76775,2113404,4.9
80,211.79919,1958808,4.4
81,211.80357,2290930,5.6
82,211.83044,2084338,4.8
83,211.84226,2024629,4.6
84,211.93968,2283765,5.5
85,211.9766,1966453,4.4
86,211.99122,2024555,4.6
87,212.04718,2336252,5.7
88,212.05242,1875794,4.1
89,212.06575,2326645,5.7
90,212.09851,2377737,5.9
91,212.14475,1907030,4.2
92,212.15088,1940714,4.3
93,212.198,2250530,5.4
94,212.21652,2411080,6.0
95,212.23362,2000013,4.5
96,212.2628,1884167,4.1
97,212.334,2209903,5.3
98,212.37649,1877736,4.1
99,212.39163,2196590,5.2
100,212.462,2118117,4.9
101,212.48522,1962972,4.4
102,212.48941,1886501,4.1
103,212.51096,1970572,4.4
104,212.5341,2003332,4.5
